P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Kepler-1279 b,0,0.28370889,Superterran,Hot,,,1.74876,23.47741,764.83429,0.17095094,Kepler-1279,F,1.21,1.33,6221,2.3737377
Kepler-1280 b,0,0.32478187,Superterran,Hot,,,1.87207,66.557906,539.63241,0.34148353,Kepler-1280,F,1.2,1.32,6227,2.3472101
Kepler-1281 b,0,0.27686442,Superterran,Hot,,,1.63666,3.1160279,1076.8245,0.039848948,Kepler-1281,G,0.87,0.83,5353,0.50679673
Kepler-1282 b,0,0.27887723,Superterran,Hot,,,1.54698,2.1319465,1289.0774,0.031522672,Kepler-1282,G,0.92,0.89,5504,0.65130192
Kepler-1283 b,0,0.26780397,Superterran,Hot,,,1.9057,12.946098,903.85403,0.11334999,Kepler-1283,F,1.16,1.25,6175,2.0354316
Kepler-1284 b,0,0.29041083,Terran,Hot,,,1.21068,0.66407381,1693.0958,0.014052282,Kepler-1284,K,0.84,0.79,5123,0.38515918
Kepler-1285 b,0,0.30320033,Terran,Hot,,,0.97527,14.796746,869.16086,0.12531819,Kepler-1285,F,1.2,1.28,6170,2.1274004
Kepler-1286 b,0,0.26058221,Superterran,Hot,,,2.15232,11.254029,800.81775,0.098261092,Kepler-1286,G,1,0.98,5753,0.94258016
Kepler-1287 b,0,0.29289859,Superterran,Hot,,,1.53577,11.476859,779.3327,0.098208408,Kepler-1287,G,0.96,0.94,5715,0.84451874
Kepler-1288 b,0,0.29286431,Terran,Hot,,,1.121,2.7612242,1517.4994,0.040923341,Kepler-1288,F,1.2,1.29,6132,2.1080293
Kepler-1289 b,0,0.28315237,Superterran,Hot,,,1.52456,7.9901963,1020.2522,0.080725749,Kepler-1289,F,1.1,1.17,6080,1.6760026
Kepler-129 b,0,0.24527454,Superterran,Hot,,,2.36531,15.79186,899.86873,0.131,Kepler-129,G,,1.64,5770,2.6710351
Kepler-129 c,0,0.29885863,Neptunian,Hot,,,2.54467,82.20017,519.53945,0.393,Kepler-129,G,,1.64,5770,2.6710351
Kepler-1290 b,0,0.2872469,Terran,Hot,,,1.42367,4.6950013,1035.9871,0.053931343,Kepler-1290,G,0.95,0.93,5660,0.79528038
Kepler-1291 b,0,0.29072032,Superterran,Hot,,,1.65908,8.6304328,737.8263,0.077676748,Kepler-1291,K,0.84,0.8,5216,0.42444259
Kepler-1292 b,0,0.26710654,Superterran,Hot,,,1.81602,3.276464,1146.5076,0.042431432,Kepler-1292,G,0.95,0.93,5556,0.73842007
Kepler-1293 b,0,0.29551715,Terran,Hot,,,0.97527,5.5765478,1220.5418,0.065020032,Kepler-1293,F,1.18,1.28,6241,2.2270261
Kepler-1294 b,0,0.42197902,Neptunian,Hot,,,3.19485,115.68623,368.50404,0.46299441,Kepler-1294,G,0.99,0.97,5776,0.93829813
Kepler-1295 b,0,0.28139616,Superterran,Hot,,,1.54698,3.8137197,1058.4383,0.046452028,Kepler-1295,G,0.92,0.89,5486,0.64282369
Kepler-1296 b,0,0.30837029,Terran,Hot,,,0.90801,8.3839865,775.08327,0.077087333,Kepler-1296,G,0.87,0.83,5359,0.50907276
Kepler-1297 b,0,0.29390606,Terran,Hot,,,0.97527,1.68189,1536.4386,0.027579497,Kepler-1297,G,0.99,0.99,5818,1.0061295
Kepler-1298 b,0,0.28812657,Terran,Hot,,,1.31157,7.1281193,1379.6801,0.082025496,Kepler-1298,F,1.45,2,6339,5.786709
Kepler-1299 b,0,0.24331208,Neptunian,Hot,,,2.98186,19.940087,628.20988,0.14094085,Kepler-1299,G,0.94,0.91,5609,0.73436706
Kepler-130 b,0,0.29926497,Terran,Hot,,,1.02011,8.457458,980.87894,0.079,Kepler-130,G,,1.13,5884,1.3713117
Kepler-130 c,0,0.24188209,Neptunian,Hot,,,2.90339,27.50868,653.45992,0.178,Kepler-130,G,,1.13,5884,1.3713117
Kepler-130 d,0,0.40085993,Superterran,Hot,,,1.63666,87.517905,449.01235,0.377,Kepler-130,G,,1.13,5884,1.3713117
Kepler-1300 b,0,0.29413384,Terran,Hot,,,1.36762,22.241909,880.76552,0.1684564,Kepler-1300,F,1.29,1.79,6130,4.05356
Kepler-1301 b,0,0.3040818,Terran,Hot,,,1.40125,9.0823705,724.55031,0.080682994,Kepler-1301,K,0.85,0.81,5188,0.42585187
Kepler-1302 b,0,0.30088151,Terran,Hot,,,1.43488,8.8392266,740.99343,0.079546038,Kepler-1302,K,0.86,0.82,5236,0.45280885
